wavelength_nm,TNT_mirrors_M1xM2xM3xM4,focal_reducer_L1_T,LRS_fold_mirrors_x2,LRS_collimator_T,VPH_grating_eff,Nikon_camera_T,CCD_QE_BEX2DD,LRS_only_throughput,TOTAL_system_throughput
656,0.9637,0.9918,0.9878,0.9893,0.8988,0.7099,0.9180,0.5724,0.5471
657,0.9629,0.9917,0.9878,0.9892,0.8984,0.7099,0.9185,0.5723,0.5466
658,0.9621,0.9917,0.9877,0.9891,0.8979,0.7099,0.9190,0.5723,0.5460
659,0.9614,0.9917,0.9877,0.9890,0.8974,0.7099,0.9195,0.5721,0.5454
660,0.9606,0.9916,0.9876,0.9888,0.8968,0.7099,0.9200,0.5720,0.5448
661,0.9598,0.9916,0.9876,0.9887,0.8961,0.7099,0.9205,0.5717,0.5441
662,0.9590,0.9915,0.9876,0.9886,0.8953,0.7099,0.9210,0.5715,0.5434
663,0.9583,0.9915,0.9875,0.9885,0.8945,0.7099,0.9215,0.5712,0.5427
664,0.9575,0.9915,0.9875,0.9884,0.8937,0.7099,0.9220,0.5708,0.5419
665,0.9567,0.9914,0.9874,0.9882,0.8927,0.7099,0.9225,0.5705,0.5411
666,0.9559,0.9914,0.9874,0.9881,0.8917,0.7099,0.9230,0.5700,0.5402
667,0.9552,0.9913,0.9874,0.9880,0.8907,0.7099,0.9235,0.5696,0.5393
668,0.9544,0.9913,0.9873,0.9879,0.8896,0.7099,0.9240,0.5691,0.5384
669,0.9536,0.9913,0.9873,0.9878,0.8884,0.7099,0.9245,0.5685,0.5374
670,0.9529,0.9912,0.9872,0.9876,0.8871,0.7099,0.9250,0.5680,0.5364
671,0.9521,0.9912,0.9872,0.9875,0.8858,0.7099,0.9255,0.5673,0.5354
672,0.9513,0.9911,0.9872,0.9874,0.8844,0.7099,0.9260,0.5667,0.5343
673,0.9505,0.9911,0.9871,0.9873,0.8830,0.7099,0.9265,0.5660,0.5332
674,0.9498,0.9911,0.9871,0.9872,0.8815,0.7099,0.9270,0.5652,0.5320
675,0.9490,0.9910,0.9870,0.9870,0.8800,0.7099,0.9275,0.5644,0.5308
676,0.9479,0.9910,0.9870,0.9869,0.8783,0.7099,0.9280,0.5636,0.5294
677,0.9469,0.9909,0.9870,0.9868,0.8767,0.7099,0.9285,0.5628,0.5280
678,0.9458,0.9909,0.9869,0.9867,0.8749,0.7099,0.9290,0.5619,0.5266
